"BusinessEntityID","DepartmentID","ShiftID","StartDate","ModifiedDate"
109,7,1,"2015-07-07","2015-07-06"
110,7,1,"2015-07-14","2015-07-13"
111,7,1,"2015-07-17","2015-07-16"
112,7,1,"2015-08-01","2015-07-31"
113,7,1,"2015-07-25","2015-07-24"
114,7,1,"2015-08-13","2015-08-12"
115,7,1,"2015-08-20","2015-08-19"
116,7,1,"2015-08-31","2015-08-30"
117,7,1,"2015-09-18","2015-09-17"
118,7,1,"2015-09-13","2015-09-12"
119,7,1,"2015-09-25","2015-09-24"
120,7,1,"2015-10-04","2015-10-03"
121,15,1,"2015-08-02","2015-08-01"
121,7,1,"2016-09-03","2016-09-02"
122,15,2,"2015-07-07","2015-07-06"
123,15,2,"2015-07-07","2015-07-06"
124,15,3,"2015-07-26","2015-07-25"
125,15,1,"2015-08-20","2015-08-19"
126,15,1,"2015-09-26","2015-09-25"
127,7,3,"2015-08-03","2015-08-02"
128,7,3,"2015-07-04","2015-07-03"
129,7,3,"2015-07-22","2015-07-21"
130,7,3,"2015-09-13","2015-09-12"
131,7,3,"2015-09-15","2015-09-14"
132,7,3,"2015-09-22","2015-09-21"
133,7,3,"2015-08-10","2015-08-09"
134,7,1,"2015-08-14","2015-08-13"
135,7,1,"2015-07-04","2015-07-03"
136,7,1,"2016-07-11","2016-07-10"
136,15,1,"2018-10-02","2018-10-01"
137,7,1,"2015-09-23","2015-09-22"
138,7,1,"2015-09-04","2015-09-03"
139,7,1,"2016-08-06","2016-08-05"
140,7,1,"2016-08-22","2016-08-21"
141,7,1,"2016-08-24","2016-08-23"
142,7,1,"2016-10-04","2016-10-03"
142,15,1,"2018-10-02","2018-10-01"
143,7,1,"2016-09-13","2016-09-12"
144,7,1,"2015-08-17","2015-08-16"
145,7,2,"2015-08-27","2015-08-26"
146,7,2,"2015-07-07","2015-07-06"
147,7,2,"2015-07-26","2015-07-25"
148,7,2,"2015-08-14","2015-08-13"
149,7,2,"2015-08-31","2015-08-30"
150,7,2,"2015-09-26","2015-09-25"
151,7,2,"2015-09-19","2015-09-18"
152,7,2,"2015-09-01","2015-08-31"
153,7,2,"2015-07-16","2015-07-15"
154,7,2,"2015-07-23","2015-07-22"
155,7,2,"2015-08-04","2015-08-03"
156,7,2,"2015-08-11","2015-08-10"
157,7,2,"2015-09-03","2015-09-02"
158,7,2,"2015-10-07","2015-10-06"
159,7,2,"2015-09-16","2015-09-15"
160,7,1,"2015-08-21","2015-08-20"
161,7,1,"2015-07-15","2015-07-14"
162,7,1,"2015-08-03","2015-08-02"
163,7,1,"2015-09-08","2015-09-07"
164,7,1,"2015-10-06","2015-10-05"
165,7,1,"2015-08-22","2015-08-21"
166,7,1,"2015-09-21","2015-09-20"
167,7,1,"2015-07-02","2015-07-01"
168,7,1,"2015-07-07","2015-07-06"
169,7,1,"2015-07-14","2015-07-13"
170,7,1,"2015-07-21","2015-07-20"
171,7,1,"2015-08-02","2015-08-01"
172,7,1,"2015-08-16","2015-08-15"
173,7,1,"2015-08-21","2015-08-20"
174,7,1,"2015-08-27","2015-08-26"
175,7,1,"2015-09-02","2015-09-01"
175,7,3,"2017-02-04","2017-02-03"
176,7,1,"2015-09-14","2015-09-13"
177,7,1,"2015-09-21","2015-09-20"
178,7,1,"2015-10-03","2015-10-02"
179,7,1,"2015-10-05","2015-10-04"
180,7,3,"2015-09-20","2015-09-19"
181,7,3,"2015-07-09","2015-07-08"
182,7,3,"2015-07-28","2015-07-27"
183,7,3,"2015-08-22","2015-08-21"
184,7,3,"2015-09-09","2015-09-08"
185,7,3,"2015-09-28","2015-09-27"
186,7,2,"2015-09-08","2015-09-07"
187,7,2,"2015-07-09","2015-07-08"
188,7,2,"2015-07-27","2015-07-26"
189,7,2,"2015-08-15","2015-08-14"
190,7,2,"2015-09-02","2015-09-01"
191,7,2,"2015-09-26","2015-09-25"
192,7,1,"2015-10-05","2015-10-04"
193,7,1,"2015-07-06","2015-07-05"
194,7,1,"2015-07-12","2015-07-11"
195,7,1,"2015-07-17","2015-07-16"
196,7,1,"2015-07-24","2015-07-23"
197,7,1,"2015-07-31","2015-07-30"
198,7,1,"2015-08-04","2015-08-03"
199,7,1,"2015-08-12","2015-08-11"
200,7,1,"2015-08-17","2015-08-16"
201,7,1,"2015-08-29","2015-08-28"
202,7,1,"2015-09-05","2015-09-04"
203,7,1,"2015-09-24","2015-09-23"
204,7,1,"2015-10-08","2015-10-07"
205,7,3,"2015-09-26","2015-09-25"
205,13,3,"2018-09-23","2018-09-22"
206,7,3,"2015-07-02","2015-07-01"
207,7,3,"2015-07-02","2015-07-01"
208,7,3,"2015-08-08","2015-08-07"
209,7,3,"2015-08-27","2015-08-26"
210,7,3,"2015-09-20","2015-09-19"
211,13,1,"2015-09-28","2015-09-27"
212,13,1,"2015-07-09","2015-07-08"
213,13,3,"2016-09-23","2016-09-22"
214,13,2,"2015-09-02","2015-09-01"
215,13,1,"2015-08-15","2015-08-14"
216,13,1,"2015-07-28","2015-07-27"
217,12,1,"2015-08-04","2015-08-03"
217,8,1,"2018-09-02","2018-09-01"
218,12,3,"2015-07-16","2015-07-15"
219,12,1,"2015-08-22","2015-08-21"
220,12,1,"2015-09-09","2015-09-08"
221,12,2,"2015-10-06","2015-10-05"
222,8,1,"2015-07-12","2015-07-11"
223,8,1,"2015-08-26","2015-08-25"
224,7,1,"2015-08-07","2015-08-06"
224,8,1,"2018-04-01","2018-03-31"
225,8,2,"2015-09-13","2015-09-12"
226,8,3,"2015-10-03","2015-10-02"
227,14,1,"2016-07-02","2016-07-01"
228,14,1,"2015-07-14","2015-07-13"
228,14,3,"2017-10-05","2017-10-04"
229,14,3,"2016-09-16","2016-09-15"
230,14,2,"2016-10-05","2016-10-04"
231,14,3,"2016-10-07","2016-10-06"
232,14,2,"2016-08-27","2016-08-26"
233,14,1,"2016-07-21","2016-07-20"
234,10,1,"2015-08-31","2015-08-30"
234,16,1,"2020-06-14","2020-06-13"
235,9,1,"2015-07-06","2015-07-05"
236,9,1,"2015-09-25","2015-09-24"
237,9,1,"2015-09-06","2015-09-05"
238,9,1,"2015-08-01","2015-07-31"
239,9,1,"2015-07-25","2015-07-24"
240,9,1,"2015-07-13","2015-07-12"
241,10,1,"2015-08-30","2015-08-29"
242,10,1,"2015-07-18","2015-07-17"
243,10,1,"2015-08-06","2015-08-05"
244,10,1,"2015-08-24","2015-08-23"
245,10,1,"2015-09-18","2015-09-17"
246,10,1,"2015-09-11","2015-09-10"
247,10,1,"2015-10-01","2015-09-30"
248,10,1,"2015-10-08","2015-10-07"
249,10,1,"2015-07-25","2015-07-24"
250,4,1,"2017-09-25","2017-09-24"
250,13,1,"2018-02-28","2018-02-27"
250,5,1,"2019-02-15","2019-02-14"
251,5,1,"2015-09-10","2015-09-09"
252,5,1,"2015-09-28","2015-09-27"
253,5,1,"2016-07-17","2016-07-16"
254,5,1,"2016-08-04","2016-08-03"
255,5,1,"2016-08-11","2016-08-10"
256,5,1,"2016-08-23","2016-08-22"
257,5,1,"2016-08-27","2016-08-26"
258,5,1,"2016-08-31","2016-08-30"
259,5,1,"2016-10-09","2016-10-08"
260,5,1,"2017-07-06","2017-07-05"
261,5,1,"2017-07-25","2017-07-24"
262,10,1,"2015-08-12","2015-08-11"
263,11,1,"2015-07-11","2015-07-10"
264,11,1,"2015-09-04","2015-09-03"
265,11,2,"2015-07-04","2015-07-03"
266,11,1,"2015-09-23","2015-09-22"
267,11,1,"2015-09-16","2015-09-15"
268,11,1,"2015-09-03","2015-09-02"
269,11,1,"2015-08-11","2015-08-10"
270,11,1,"2015-08-17","2015-08-16"
271,11,1,"2015-08-22","2015-08-21"
271,10,1,"2017-02-21","2017-02-20"
272,11,1,"2015-07-23","2015-07-22"
273,3,1,"2017-09-15","2017-09-14"
274,3,1,"2017-08-04","2017-08-03"
275,3,1,"2017-12-31","2017-12-30"
276,3,1,"2017-12-31","2017-12-30"
277,3,1,"2017-12-31","2017-12-30"
278,3,1,"2017-12-31","2017-12-30"
279,3,1,"2017-12-31","2017-12-30"
280,3,1,"2017-12-31","2017-12-30"
281,3,1,"2017-12-31","2017-12-30"
282,3,1,"2017-12-31","2017-12-30"
283,3,1,"2017-12-31","2017-12-30"
284,3,1,"2019-04-30","2019-04-29"
285,3,1,"2019-10-14","2019-10-13"
286,3,1,"2019-12-30","2019-12-29"
287,3,1,"2018-11-16","2018-11-15"
288,3,1,"2019-12-30","2019-12-29"
289,3,1,"2018-12-30","2018-12-29"
290,3,1,"2018-12-30","2018-12-29"
